Name,Check
S16-6109,1
S16-7840,1.3
S16-7922,1
S16-11613,1
S16-12180,5
S16-14928,1
S16-8189,1
S16-11626,1
S16-13435,1.3
S16-14444,4
S16-14869,1
S16-15341,1
S16-15695,1
S16-15874,4.5
S16-5524,1
S16-8290,1
S16-8852,1
S16-9478,3.5
S11-20124C,1
S16-11445,1.5
S16-12774,5
S16-13340,1.3
S16-15170,4.3
S16-8299,1.3
S16-8372,1
S16-11222,5
S16-15786,2
S16-15896,5
S16-16154,1
S11-20195GT,1.5
S16-16284,1.3
S16-17395,1
S16-3739,1
S16-11648,5
S16-11651,1.5
S16-12661,1.3
S16-12805,1.5
S16-15809,5
S16-3747,1
S16-6545,4.5
S16-9030,4.5
S13-1955,1.3
S16-16814,5
S16-17318,1
S16-5854,1.8
S16-9090,1.5
S16-12327,5
S16-15825,1.3
S16-16720,1
S13-10590,1.3
S14-6391,1.3
S15-11985,1.3
S15-12298,1.3
S15-12518,1
S15-17397,1
S15-17458,1.3
S15-17463,1
S15-17694,2.5
S15-17820,1.3
S15-17875,1
S15-18293,2.3
S15-6068,1
S15-7218,1.8
S15-9130,1.5
